0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
,,,Step 1,,,,,Step 2,,,,Step 3,,,Step 4,,,Step 5,,Step 6,,,,Consultation during action plan development,,Consultation during implementation,,,,Government self-assessment report,,,,,,,,,,,,,Institutional Variables,,,,,,,,,,,,
Country name,Action Plan Number,Year AP Submitted,Step 1: Timeline and process: Prior availability,_Timelineavailability,Timeline: Online,Timeline: other channels,Timeline: links,Step 2: Advance notice,_Advance notice,Days in advance,Advance notice: Adequacy,Step 3: Awareness-raising activities,_Awareness-Raising,Awareness-raising activities: Links,Step 4: Online consultations,_Online consultation,Online consultations: Link,Step 5: In-person consultations,_In-person consultations,Step 6: Summary of comments,_Summary of comments,Summary of comments: Link,_Number of steps followed (out of 6),Invitation-only or open participation during dev. consultation,IAP2 level during development,Consultation during action plan implementation (regular forum),_Regular forum,Invitation-only or open participation during imp. consultation,IAP2 level during imp.,Was annual progress report published?,_Self assessment published,Was it done according to schedule?,Is the report available in the local language?,Is the report available in English?,Did the government provide a two-week public comment period on draft self-assessment reports?,Did the report include a review of its public comment period?,Were any public comments received?,Is the report deposited in the OGP portal?,Did the self-assessment report include review of the consultation efforts?,Did the report cover all of the commitments?,Did it assess completion according to schedule?,Did the self-assessment report include review of the consultation efforts on draft self-assessments?,Only one branch,Executive,Multi-agency (1) vs. Single (0),Single Lead,Pres Office/PM,Executive Lead Agency,Ministry of Foreign Affairs,MOFA Lead Agency,Officially Mandated,Legally mandated,Multiple Arrangements,"Implementing agency same as developing agency? 1=Y, 0=N",Change of executive
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Step 1,,,,,Step 2,,,,Step 3,,,Step 4,,,Step 5,,Step 6,,,,Consultation during action plan development,,Consultation during implementation,,,,Government self-assessment report,,,,,,,,,,,,,Institutional Variables,,,,,,,,,,,,
Country name,Action Plan Number,Year AP Submitted,Step 1: Timeline and process: Prior availability,_Timelineavailability,Timeline: Online,Timeline: other channels,Timeline: links,Step 2: Advance notice,_Advance notice,Days in advance,Advance notice: Adequacy,Step 3: Awareness-raising activities,_Awareness-Raising,Awareness-raising activities: Links,Step 4: Online consultations,_Online consultation,Online consultations: Link,Step 5: In-person consultations,_In-person consultations,Step 6: Summary of comments,_Summary of comments,Summary of comments: Link,_Number of steps followed (out of 6),Invitation-only or open participation during dev. consultation,IAP2 level during development,Consultation during action plan implementation (regular forum),_Regular forum,Invitation-only or open participation during imp. consultation,IAP2 level during imp.,Was annual progress report published?,_Self assessment published,Was it done according to schedule?,Is the report available in the local language?,Is the report available in English?,Did the government provide a two-week public comment period on draft self-assessment reports?,Did the report include a review of its public comment period?,Were any public comments received?,Is the report deposited in the OGP portal?,Did the self-assessment report include review of the consultation efforts?,Did the report cover all of the commitments?,Did it assess completion according to schedule?,Did the self-assessment report include review of the consultation efforts on draft self-assessments?,Only one branch,Executive,Multi-agency (1) vs. Single (0),Single Lead,Pres Office/PM,Executive Lead Agency,Ministry of Foreign Affairs,MOFA Lead Agency,Officially Mandated,Legally mandated,Multiple Arrangements,"Implementing agency same as developing agency? 1=Y, 0=N",Change of executive
Albania,1,2012,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,Yes,1,No,0,NA,1,NR,NR,No,0,NA,NA,Yes,1,No,No,Yes,No,NA,NA,Yes,Yes,No,No,NR,1,1,1,1,1,NA,0,NR,1,0,1,0,1
Albania,2,2014,No,0,Yes,No,bit.ly/1TESrtu,Yes,1,17,No,No,0,NA,Yes,1,bit.ly/1CJic7z bit.ly/1gDxSiJ,Yes,1,Yes,1,bit.ly/1O6IW1L,4,Open,Consult,No,0,NA,NA,Yes,1,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,NR,1,1,1,1,1,0,1,0,1,1,0,1,1
Argentina,1,2013,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,Yes,1,No,0,NA,1,Invitation-only,Involve,Yes,1,Open,Involve,Yes,1,Yes,Yes,Yes,No,NA,NA,Yes,Yes,Yes,No,Yes,1,1,0,1,0,0,0,0,0,0,1,1,0
Argentina,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,1,1,1,0,NA,0,NA,0,0,1,1,1
Armenia,1,2012,No,0,No,No,NA,No,0,NA,No,No,0,NA,No,0,NA,Yes,1,No,0,NA,1,NR,NR,Yes,1,NR,NR,Yes,1,No,Yes,Yes,No,NA,NA,Yes,No,Yes,No,NR,1,1,1,1,0,NA,1,NR,1,0,0,1,0
