0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
Country,Action Plan Number,Theme,Comm No,Comm Dummy,Commitment Title,Short Title,Full Text,Start Date,End Date,Lead Institution,Supporting Institution(s),Contact Name,Contact Position,Contact Email,Contact Telephone,Anti-corruption,Conflicts of Interest,Asset disclosure,Audits & Controls,Whistleblower Protections,Fiscal Openness,Citizen Budgets,Participatory Budgeting,E-petitions,Social Audits,Public Participation,Public Procurement,Access to Information,Records Management,Open Data,Elections & Political Finance,Law Enforcement & Justice,Public Service Delivery,E-government,Capacity Building,Legislation & Regulation,Private sector,Legislature,Sub-national,Judiciary,Media & Telecommunications,Education,Health & Nutrition,Citizenship & Immigration,Welfare & Social Security,Water & Sanitation,Infrastructure,Public Safety,Defense,Natural Resources,Aid,Nonprofits,Labor,Science & Technology,Gender & Sexuality,Human Rights,Marginalized Communities,OGP,Checksum,ODWG,FOWG,LOWG,ATWG,ONRWG,Compound,Cluster,PoC Specified? (Delete?),Specificity,_Specificity,GC-PubInt,GC-PubRes,GC-PubSvc,GC-CorpAcc,GC-SafComm,Value -Info,Value -Part,Value -Acc,Value -Tech,_Relevant,Potential impact,_Pot Impact Coded,Completion (progress report),_CompletionProgress,Starred (pre-June 2014 assessments),Starred (2015 only),Starred (current formula) progress report,IRM Assessed (Y/N)?,Year of submission,Report publication year (progress report),Report publication year (end of term),Completion (end of term),_CompletionEndTerm,Change in completion,_ChangeCompletion,Did it open government (end of term only),_OpenGovt,Starred (current formula) end of term,,,,,,,,,,
Albania,1,e-Governance: 2012 and Onward,10,1,10. The regulation on ethics in research and publishing,10. The regulation on ethics in research and publishing,"The Ministry of Education and Science has adopted and published the regulation on: “Ethics in research and publishing”. This regulation provides, inter alia, the obligation of institutions and researchers to publish and verify on the relevant official website every scientific Master’s thesis, PHD dissertation, monograph, book, scientific article or reference, and other forms of research and publication, in order to maintain the originality and authenticity of the work and to fight plagiarism.",Not Specified,Not Specified,Ministry of Education and Science,"Research, Technology and Innovation Agency; Higher Education and Research Institutions",NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NR,0,2,NR,NR,NR,NR,NR,0,1.2,0,b. medium,2,0,0,1,0,0,0,0,0,0,0,None,0,d. Complete,5,0,ND,ND,1,2012,2014,ND,ND,ND,ND,ND,ND,ND,ND,,,,,,,,,,
Albania,1,Increasing Public Access in Decisionmaking,22,1,"22. Work inspection, online complaint","22. Work inspection, online complaint","Concerning work inspection, the State Labor Inspectorate website (www.sli.gov.al), will also be used by citizens this year to make an online complaint or to report violations. The goal is to achieve timely review of the complaint and to take appropriate measures.",2012,Not Specified,"Ministry of Labor, Social Affairs and Equal Opportunities",State Labor Inspectorate  (SLI),NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NR,0,2,NR,NR,NR,NR,NR,0,1.3,0,b. medium,2,1,0,0,0,0,0,0,1,1,1,None,0,b. Limited,3,0,ND,ND,1,2012,2014,ND,ND,ND,ND,ND,ND,ND,ND,,,,,,,,,,
Albania,1,e-Governance: 2012 and Onward,8,1,8. Starting of the e-Tax system,8. Starting of the e-Tax system,The Tax Administration will develop the terms of reference and bidding procedures for starting the full implementation of the e-Tax system.,Not Specified,Not Specified,General Tax Directorate,None Specified,NR,NR,NR,NR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NR,0,2,NR,NR,NR,NR,NR,0,1.2,0,b. medium,2,0,0,1,0,0,0,0,0,0,0,Minor,1,a. Not started,2,0,ND,ND,1,2012,2014,ND,ND,ND,ND,ND,ND,ND,ND,,,,,,,,,,
Albania,1,e-Governance: 2012 and Onward,11,1,11. Digitalization of higher education accreditation process,11. Digitalization of higher education accreditation process,"The Public Agency for Higher Education Accreditation is completing the digitalization of its management system, which will facilitate the evaluation and accreditation procedures of higher education institutions.",Not Specified,Not Specified,Ministry of Education and Science,Public Agency for Higher Education Accreditation,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NR,0,2,NR,NR,NR,NR,NR,0,1.2,0,a. low,1,0,0,1,0,0,0,0,0,0,0,Minor,1,b. Limited,3,0,ND,ND,1,2012,2014,ND,ND,ND,ND,ND,ND,ND,ND,,,,,,,,,,
Albania,1,e-Governance: 2012 and Onward,12,1,12. U-Gov system,12. U-Gov system,"The first module of the U-Gov system, a system at the service of universities for internal information management, is underway.",Not Specified,Not Specified,Ministry of Education and Science,Higher Education Institutions,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NR,0,2,NR,NR,NR,NR,NR,0,1.2,0,a. low,1,0,0,1,0,0,0,0,0,0,0,Minor,1,a. Not started,2,0,ND,ND,1,2012,2014,ND,ND,ND,ND,ND,ND,ND,ND,,,,,,,,,,
Albania,1,e-Governance: 2012 and Onward,13,1,13. Online inspections of courts and judicial hearings,13. Online inspections of courts and judicial hearings,"The Online Inspection of courts and judicial hearings is one of the new functionalities that the Integrated Case Management Information System (ICMIS) provides. This project is implemented through the www.gjykata.gov.al portal. By introducing this system, the administration seeks to minimize the time needed for the compilation of inspected reports.",2012,Not Specified,Ministry of Justice,None Specified,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NR,0,3,NR,NR,NR,NR,NR,0,1.2,0,c. high,3,1,0,0,0,0,0,0,1,1,1,Minor,1,b. Limited,3,0,ND,ND,1,2012,2014,ND,ND,ND,ND,ND,ND,ND,ND,,,,,,,,,,
Albania,1,Digitalization to Improve Public Services,23,1,23. Financial module of all educational institutions,23. Financial module of all educational institutions,"Last year, a system was created to manage the finances and budget of the Ministry of Education and Sciences and all regional education departments in order to built on a central/unique database platform. The second phase of the module has begun in April 2012. The system enhances the quality of interaction, avoids duplication of information, increases transparency and tracks educational institutions’ expenses electronically.",2012,Not Specified,Ministry of Education and Science,All regional education departments,NR,NR,NR,NR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NR,0,2,NR,NR,NR,NR,NR,0,2.1,0,a. low,1,0,1,0,0,0,1,0,1,0,1,Minor,1,a. Not started,2,0,ND,ND,1,2012,2014,ND,ND,ND,ND,ND,ND,ND,ND,,,,,,,,,,
Albania,1,Public Procurement,30,1,30. Implementation of the EITI recommendations,30. Implementation of the EITI recommendations,"In 2012, the Albanian Secretariat for EITI, ALBEITI, will continue to implement the International Secretariat of EITI recommendations’ (the Extractive Industries Transparency Initiative), including the reorganization of the Inter-Ministerial Working Group of the ALBEITI.",Not Specified,Not Specified,"Ministry of economy, trade and energy",ALBEITI,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NR,0,1,NR,NR,NR,NR,NR,0,3.3,0,a. low,1,0,1,0,0,0,1,0,1,1,1,Minor,1,c. Substantial,4,0,ND,ND,1,2012,2014,ND,ND,ND,ND,ND,ND,ND,ND,,,,,,,,,,
Albania,1,e-Governance: 2012 and Onward,4,1,"4. Extension of the governmental network, GOVNET","4. Extension of the governmental network, GOVNET","Govnet provides centralized delivery of major government electronic services to all ministries and other institutions of public administration that are located in Tirana, Durres, Elbasan and other main cities of the country.",Not Specified,Not Specified,Ministry for Innovation and ICT,National Agency for Information Society (NAIS),NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NR,0,1,NR,NR,NR,NR,NR,0,1.2,0,c. high,3,0,0,1,0,0,0,0,0,0,0,Moderate,2,c. Substantial,4,0,ND,ND,1,2012,2014,ND,ND,ND,ND,ND,ND,ND,ND,,,,,,,,,,
