,,,,,,,Public Integrity Measures,,,,,Fiscal Openness,,,Citizen Engagement,,,Procurement,Access to Information Mechanisms,,Open Data,Elections,Justice,Public Services,How is it Done?,,,Who is Affected?,,,,Sectors,,,,,,,,,,,,,,Mainstreaming Issues,,OGP,Sum,Line Ministry Contact,,,,Working Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000 Case No.,Action Plan No.,Country,Commitment Title,Full Text,Lead institution (Responsible Instutitution),Supporting Institution,Anti-Corruption,Conflicts of Interest,Asset Disclosure,Audits & Controls,Whistleblower Protections,Budget Transparency,Citizen Budgets,Participatory Budgeting,E-petitions,Social Audits,Public Participation,Public Procurement,Access to Information,Records Management,Open Data,Elections & Political Finance,Law Enforcement & Justice,Public Service Delivery Improvement,E-government,Capacity Building,Legislation & Regulation,Private Sector,Legislature,Sub-national governance,Judiciary,Media & Telecommunications,Education,Health & Nutrition,Citizenship & Immigration,Welfare & Social Security,Water & Sanitation,Infrastructure,Public Safety,Defense,Natural Resources,Aid,Nonprofits,Labor,Science & Technology,Gender & Sexuality,Human Rights,OGP,,Person Reponsible from Lead Institution,"Title, Department",Email,Phone,ODWG,FOWG,LOWG,ATWG,ONRWG,Compound,Cluster,PoC Specificed?,Specificity,_Specificity,GC-PubInt,GC-PubRes,GC-PubSvc,GC-CorpAcc,GC-SafComm,Value -Info,Value -Part,Value -Acc,Value -Tech,_Relevant,NewvPre-exist,_NewvPre-exist,Potential Impact,_Pot Impact Coded,Timebound?,Start,End,_Before July 2013,Actual Completion,_Actual Completion,Projected Completion,_Proj Completion,On time,On schedule,Starred,New x Starred,Starred x Specificity,Next Y/N,Next Steps,Action Plan No.,IRM Assessed (Y/N)?
176,1,Albania,1. Open data portal,"The National Agency for Information Society is establishing a governmental portal in the open data format. This portal initially will include the Ministry of Finance and Department of Treasury data for daily expenses by all central institutions and agencies. The same practice will be implemented by the National Postal and Electronic Communications Authority database. Another institution, the National Statistics Institute (INSTAT) will implement on its long term strategy the open data format for its database. As the national coordinator for collecting data on Albania’s economy and society, INSTAT will standardize the entire process of publishing the public sector’s statistical open data during its long term program.",National Agency for Information Society,Institute of Statistics - INSTAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,1.1,0,b. medium,2,1,0,0,0,0,1,0,0,1,1,Unclear,0,Moderate,2,Unclear,Not Specified,Not Specified,2,b. Limited,2,c. Substantial,3,1,behind schedule,0,0,0,1,Revision of the commitment to be more achievable or measurable,1,1
177,1,Albania,2. e-Acts,"e-Acts project aims to support the process of preparation, approval and submitting of legal acts (laws, decisions of the Council of Ministers, etc). It offers an extended collaboration process between ministries, working on joint acts and requesting opinions or suggestions within the system. Also, through this system are administered the sessions of the Council of Ministers of the Republic of Albania and are also published all the decisions of these sessions.",Council of Ministers,National Agency for Information Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,1.2,0,b. medium,2,1,0,0,0,0,1,0,1,1,1,Pre-existing,1,Moderate,2,Unclear,Not Specified,Not Specified,2,c. Substantial,3,c. Substantial,3,0,on schedule,1,0,1,1,New commitment building existing implementation,1,1
178,1,Albania,3. e-Parliament,"Through the use of e-Parliament Project the Parliament of Albania will be able to harness the information and communication technologies in order to support its primary functions which are preparation, representation and approval of laws. The e-Parliament Project will also offer the possibility for the promulgation of the approved laws by the President of the Republic of Albania. The project's goal is to use ICT in the law-making process in order to make it more representative, transparent, accessible, accountable and effective.",Parliament,National Agency for Information Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,1.2,0,b. medium,2,1,0,0,0,0,1,0,1,1,1,Pre-existing,1,Moderate,2,Unclear,Not Specified,Not Specified,2,b. Limited,2,b. Limited,2,0,on schedule,0,0,0,1,Revision of the commitment to be more achievable or measurable,1,1
179,1,Albania,"4. Extension of the governmental network, GOVNET","Govnet provides centralized delivery of major government electronic services to all ministries and other institutions of public administration that are located in Tirana, Durres, Elbasan and other main cities of the country.",Ministry for Innovation and ICT,National Agency for Information Society (NAIS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,1.2,0,c. high,3,0,0,1,0,0,0,0,0,0,0,Pre-existing,1,Moderate,2,Unclear,Not Specified,Not Specified,2,c. Substantial,3,d. Complete,4,1,behind schedule,0,0,0,1,Revision of the commitment to be more achievable or measurable,1,1
180,1,Albania,"5. e-government interoperability framework, e-GIF",e-GIF enables the exchange of information between public administration institutions. This infrastructure is managed by the National Agency for Information Society and enables fully electronic service delivery.,Ministry for Innovation and ICT,National Agency for Information Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,1.2,0,b. medium,2,0,0,1,0,0,0,0,0,0,0,Pre-existing,1,Transformative,3,Unclear,Not Specified,Not Specified,2,c. Substantial,3,NA,NA,NA,NA,0,0,0,1,New commitment building existing implementation,1,1
181,1,Albania,6. Government datacenter,"The National Agency of Information Society establishes a high capacity Datacenter, that enables all online public services to be centralized and integrated, in accordance with high standards of space and conditions of servers.",National Agency of Information Society (NAIS),None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,1.2,0,c. high,3,0,0,1,0,0,0,0,0,0,0,Pre-existing,1,Moderate,2,Unclear,Not Specified,Not Specified,2,d. Complete,4,d. Complete,4,0,on schedule,0,0,0,1,New commitment building existing implementation,1,1
182,1,Albania,7. Excise system,"The new Excise system includes online access and services for economic operators. The system enables operators to check online the status of their statement, transit and account balance. It will also begin to prepare the processing of online payments.",General Directorate of Customs,None specified,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,1.2,0,b. medium,2,0,0,1,0,0,0,0,0,0,0,Pre-existing,1,Moderate,2,Unclear,2012,2012,1,d. Complete,4,d. Complete,4,0,on schedule,0,0,0,1,New commitment building existing implementation,1,1
183,1,Albania,8. Starting of the e-Tax system,The Tax Administration will develop the terms of reference and bidding procedures for starting the full implementation of the e-Tax system.,General Tax Directorate,None specified,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,1.2,0,b. medium,2,0,0,1,0,0,0,0,0,0,0,Unclear,0,Minor,1,Unclear,Not Specified,Not Specified,2,a. Not started,1,d. Complete,4,3,behind schedule,0,0,0,1,Further work on basic implementation,1,1
184,1,Albania,9. Online state matura,"In 2006 the Albanian government established the State Matura Exams system. This year, the government implemented the online State Matura, which enhanced the quality of the application process. Through this system all student applications to the State Matura exams 2013 are submitted online through www.e-albania.al portal",Ministry of Education and Science,None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,1.2,0,b. medium,2,0,0,1,0,0,1,0,0,1,1,Pre-existing,1,Transformative,3,Supplementary Materials,Not Specified,2013,0,d. Complete,4,d. Complete,4,0,on schedule,1,0,1,1,Maintenance and monitoring of completed implementation,1,1
