0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Country name,Timeline and process: Prior availability,Timeline: Online,Timeline: other channels,Advance notice,Days in advance,Advance notice: Adequacy,Awareness-raising activities,Online consultations,In-person consultations,Summary of comments,Consultation during action plan implementation (regular forum),Was annual progress report published?,Was it done according to schedule?,Did the government provide a two-week public comment period on draft self-assessment reports?
United Kingdom,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Brazil,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Indonesia,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Mexico,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Norway,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Philippines,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
South Africa,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
United States,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Honduras,No,No Timeline,No Timeline,Yes,3,No,No,No,Yes,No,No,Yes,No,No
Macedonia,No,No Timeline,No Timeline,Yes,3,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Bulgaria,No,Not Online,No other channels,No,No advance notice,No advance notice,No,Yes,Yes,Yes,No,Yes,No,No
Canada,No,Yes,Yes,No,No advance notice,No advance notice,Yes,Yes,No,Yes,Yes,Yes,No,Yes
Colombia,No,No Timeline,No Timeline,No,No advance notice,No advance notice,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Dominican Republic,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,No,No,No,Yes,Yes,No
El Salvador,No,No Timeline,No Timeline,No,No advance notice,No advance notice,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Guatemala,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,No,No,Yes,No,No,No
Israel,Yes,Yes,No other channels,No,No advance notice,No advance notice,No,Yes,Yes,Yes,Yes,Yes,No,No
Jordan,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,Yes,No,No,Yes,Yes,No
Kenya,No,No Timeline,No Timeline,No,No advance notice,No advance notice,Yes,No,Yes,No,Yes,Yes,No,No
Latvia,NR,No Timeline,No Timeline,No,No advance notice,No advance notice,Yes,No,Yes,No,No,Yes,No,NR
Paraguay,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,No,No,No,Yes,Yes,No
Peru,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Spain,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,No,No,No,Yes,No,Yes
Ukraine,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Uruguay,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,Yes,No,No,No,Yes,Yes,No
Albania,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,Yes,No,No,Yes,No,NR
Armenia,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,Yes,No,Yes,Yes,No,No
Azerbaijan,No,No Timeline,No Timeline,No,No advance notice,No advance notice,Yes,Yes,Yes,No,No,Yes,No,NR
Czech Republic,No,Yes,Yes,No,No advance notice,No advance notice,No,Yes,Yes,Yes,No,Yes,Yes,No
Estonia,Yes,Not Online,Yes,No,No advance notice,No advance notice,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Georgia,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,Yes,No,Yes,Yes,No,NR
Greece,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,Yes,No,No,Yes,Yes,Yes
Italy,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,Yes,No,Yes,No,Yes,No,Yes
Montenegro,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,Yes,No,Yes,Yes,No,No
Slovakia,Yes,Yes,No other channels,Yes,7,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
South Korea,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,No,No,No,Yes,No,NR
Chile,Yes,Yes,Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Croatia,Yes,Yes,Yes,Yes,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Denmark,Yes,Yes,No other channels,Yes,26,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Moldova,No,Yes,Yes,Yes,"7 (for public consultation), 14 days (citizen comments through online portal)",Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
Romania,No,No Timeline,No Timeline,Yes,7,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Sweden,No,No Timeline,No Timeline,Yes,14,Yes,No,No,Yes,No,No,Yes,No,No
Tanzania,Yes,Yes,Yes,Yes,45,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
