Country name,Timeline and process: Prior availability,Timeline: Online,Timeline: other channels,Advance notice,Days in advance,Advance notice: Adequacy,Awareness-raising activities,Online consultations,In-person consultations,Summary of comments,Consultation during action plan implementation (regular forum),Was annual progress report published?,Was it done according to schedule?,Did the government provide a two-week public comment period on draft self-assessment reports?
Albania,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,Yes,No,No,Yes,No,NR
Argentina,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Armenia,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,Yes,No,Yes,Yes,No,No
Australia,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Azerbaijan,No,No Timeline,No Timeline,No,No advance notice,No advance notice,Yes,Yes,Yes,No,No,Yes,No,NR
Bosnia and Herzegovina,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Brazil,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Bulgaria,No,Not Online,No other channels,No,No advance notice,No advance notice,No,Yes,Yes,Yes,No,Yes,No,No
Canada,No,Yes,Yes,No,No advance notice,No advance notice,Yes,Yes,No,Yes,Yes,Yes,No,Yes
Chile,Yes,Yes,Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Colombia,No,No Timeline,No Timeline,No,No advance notice,No advance notice,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Costa Rica,No,No Timeline,No Timeline,No,No advance notice,No advance notice,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Croatia,Yes,Yes,Yes,Yes,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Czech Republic,No,Yes,Yes,No,No advance notice,No advance notice,No,Yes,Yes,Yes,No,Yes,Yes,No
Denmark,Yes,Yes,No other channels,Yes,26,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Dominican Republic,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,No,No,No,Yes,Yes,No
El Salvador,No,No Timeline,No Timeline,No,No advance notice,No advance notice,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Estonia,Yes,Not Online,Yes,No,No advance notice,No advance notice,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
